"CZAS";"NO2 Dwutlenek azotu  [µg/m3]";"NOx Tlenki azotu  [µg/m3]";"NO Tlenek azotu  [µg/m3]";"CO Tlenek węgla  [µg/m3]";"CO Tlenek węgla 8h poz. dop.: 10000 [µg/m3]";"C6H6 Benzen  [µg/m3]";"PM10 Pył zawieszony PM10 poz. dop.: 50 [µg/m3]";"PM2.5 Pył zawieszony PM2.5  [µg/m3]"
"01.06";"69";"164";"62";"477";"741";"0,7";"28";"13"
"02.06";"86";"215";"84";"589";"753";"1,0";"36";"-"
"03.06";"79";"176";"64";"559";"759";"1,1";"39";"-"
"04.06";"63";"124";"40";"517";"678";"0,8";"27";"-"
"05.06";"68";"169";"66";"519";"615";"0,6";"31";"-"
"06.06";"72";"177";"68";"530";"667";"0,7";"33";"-"
"07.06";"57";"145";"57";"426";"563";"0,6";"20";"-"
"08.06";"71";"193";"80";"517";"662";"0,8";"29";"-"
"09.06";"83";"223";"91";"589";"689";"1,0";"35";"-"
"10.06";"61";"146";"56";"562";"703";"0,8";"31";"-"
"11.06";"62";"128";"43";"550";"741";"0,8";"27";"-"
"12.06";"70";"181";"72";"604";"733";"0,9";"35";"-"
"13.06";"49";"112";"41";"399";"572";"0,4";"24";"-"
"14.06";"49";"134";"56";"481";"552";"0,6";"25";"-"
"15.06";"27";"58";"21";"508";"717";"0,7";"26";"-"
"16.06";"28";"71";"28";"487";"700";"0,7";"28";"-"
"17.06";"23";"67";"28";"350";"431";"0,4";"14";"-"
"18.06";"29";"70";"27";"460";"667";"0,5";"20";"-"
"19.06";"73";"183";"72";"652";"768";"1,0";"33";"-"
"20.06";"83";"199";"75";"654";"785";"1,0";"38";"-"
"21.06";"65";"149";"55";"509";"766";"0,6";"28";"-"
"22.06";"87";"201";"74";"675";"918";"1,1";"38";"-"
"23.06";"61";"143";"53";"601";"925";"0,8";"32";"-"
"24.06";"67";"148";"52";"643";"909";"0,9";"35";"-"
"25.06";"55";"107";"34";"547";"963";"0,8";"30";"-"
"26.06";"60";"144";"55";"495";"661";"0,6";"30";"-"
"27.06";"65";"151";"56";"556";"779";"0,7";"35";"-"
"28.06";"75";"185";"71";"626";"758";"0,9";"32";"-"
"29.06";"64";"146";"53";"507";"625";"0,5";"18";"-"
"30.06";"67";"162";"62";"519";"699";"0,6";"14";"-"
"wartość średnia";"62";"149";"57";"537";"-";"0,8";"29";"13"
"minimum";"23";"58";"21";"350";"431";"0,4";"14";"4"
"maksimum";"87";"223";"91";"675";"1063";"1,1";"39";"44"
