"CZAS";"NO2 Dwutlenek azotu  [µg/m3]";"NOx Tlenki azotu  [µg/m3]";"NO Tlenek azotu  [µg/m3]";"CO Tlenek węgla  [µg/m3]";"CO Tlenek węgla 8h poz. dop.: 10000 [µg/m3]";"C6H6 Benzen  [µg/m3]";"PM10 Pył zawieszony PM10 poz. dop.: 50 [µg/m3]";"PM2.5 Pył zawieszony PM2.5  [µg/m3]"
"01.03";"75";"237";"105";"883";"1218";"1,5";"45";"26"
"02.03";"68";"246";"116";"881";"1269";"1,8";"43";"23"
"03.03";"72";"284";"138";"1077";"2031";"-";"50";"32"
"04.03";"87";"312";"147";"1326";"2268";"-";"69";"45"
"05.03";"61";"150";"58";"766";"1513";"-";"27";"16"
"06.03";"75";"240";"108";"945";"1225";"-";"45";"29"
"07.03";"74";"269";"127";"1305";"1668";"-";"83";"61"
"08.03";"60";"198";"90";"868";"1369";"-";"63";"44"
"09.03";"64";"286";"145";"1314";"1586";"3,3";"91";"69"
"10.03";"62";"271";"136";"1222";"1514";"3,4";"72";"54"
"11.03";"60";"163";"67";"711";"973";"2,8";"37";"29"
"12.03";"51";"143";"60";"668";"834";"2,6";"39";"32"
"13.03";"69";"252";"119";"915";"1240";"3,8";"51";"38"
"14.03";"84";"305";"144";"1422";"1715";"6,5";"116";"92"
"15.03";"74";"259";"121";"1237";"1839";"4,6";"90";"73"
"16.03";"64";"202";"90";"854";"1236";"3,6";"62";"36"
"17.03";"81";"287";"135";"1176";"1436";"3,8";"69";"41"
"18.03";"50";"133";"54";"667";"1013";"1,1";"25";"17"
"19.03";"39";"90";"33";"558";"806";"0,8";"20";"13"
"20.03";"57";"198";"92";"863";"1234";"1,8";"46";"28"
"21.03";"67";"295";"148";"1307";"1672";"2,3";"80";"49"
"22.03";"65";"230";"108";"1194";"1785";"-";"66";"56"
"23.03";"56";"197";"92";"902";"1157";"2,0";"51";"29"
"24.03";"64";"255";"124";"1087";"1520";"3,2";"84";"49"
"25.03";"51";"146";"62";"1067";"1785";"3,6";"73";"54"
"26.03";"58";"149";"59";"769";"1196";"1,5";"35";"23"
"27.03";"78";"226";"96";"1152";"1390";"3,0";"92";"58"
"28.03";"89";"282";"125";"1232";"1510";"3,2";"90";"53"
"29.03";"63";"201";"90";"1028";"1629";"2,5";"79";"47"
"30.03";"66";"216";"98";"950";"1449";"1,8";"55";"35"
"31.03";"81";"310";"150";"1409";"1728";"3,6";"84";"52"
"wartość średnia";"67";"226";"104";"1025";"-";"0,0";"62";"42"
"minimum";"39";"90";"33";"558";"806";"0,8";"20";"13"
"maksimum";"89";"312";"150";"1422";"2148";"6,5";"116";"92"
