"CZAS";"NO2 Dwutlenek azotu  [µg/m3]";"NOx Tlenki azotu  [µg/m3]";"NO Tlenek azotu  [µg/m3]";"CO Tlenek węgla  [µg/m3]";"CO Tlenek węgla 8h poz. dop.: 10000 [µg/m3]";"C6H6 Benzen  [µg/m3]";"PM10 Pył zawieszony PM10 poz. dop.: 50 [µg/m3]";"PM2.5 Pył zawieszony PM2.5  [µg/m3]"
"01.08";"92";"212";"78";"757";"981";"1,1";"43";"27"
"02.08";"82";"163";"53";"708";"969";"1,0";"47";"36"
"03.08";"74";"154";"52";"603";"831";"0,9";"59";"29"
"04.08";"67";"152";"55";"731";"907";"1,0";"38";"29"
"05.08";"51";"96";"29";"555";"904";"0,8";"34";"22"
"06.08";"36";"84";"31";"552";"698";"0,7";"26";"20"
"07.08";"53";"148";"62";"506";"755";"0,8";"25";"15"
"08.08";"48";"111";"41";"409";"487";"0,7";"23";"14"
"09.08";"80";"189";"71";"683";"810";"1,3";"38";"19"
"10.08";"98";"218";"78";"806";"1027";"1,2";"53";"31"
"11.08";"75";"148";"48";"578";"933";"-";"37";"25"
"12.08";"46";"113";"44";"514";"685";"-";"23";"16"
"13.08";"46";"111";"42";"464";"639";"-";"19";"16"
"14.08";"62";"171";"71";"595";"726";"-";"27";"21"
"15.08";"52";"102";"33";"397";"707";"-";"16";"14"
"16.08";"75";"168";"61";"625";"780";"-";"29";"19"
"17.08";"81";"179";"64";"635";"805";"-";"32";"25"
"18.08";"87";"214";"83";"756";"1098";"-";"35";"23"
"19.08";"55";"137";"53";"616";"1124";"1,0";"25";"19"
"20.08";"51";"127";"50";"535";"746";"0,8";"14";"13"
"21.08";"50";"150";"65";"530";"659";"1,1";"23";"16"
"22.08";"48";"130";"54";"467";"533";"0,9";"21";"15"
"23.08";"55";"156";"66";"539";"674";"1,1";"23";"19"
"24.08";"76";"208";"87";"720";"996";"1,5";"30";"23"
"25.08";"84";"202";"77";"794";"989";"1,7";"37";"30"
"26.08";"72";"176";"68";"843";"983";"1,8";"47";"35"
"27.08";"45";"94";"32";"592";"903";"1,0";"31";"24"
"28.08";"63";"153";"58";"607";"811";"1,0";"21";"15"
"29.08";"70";"190";"79";"660";"743";"1,3";"25";"19"
"30.08";"74";"183";"72";"732";"864";"1,5";"29";"23"
"31.08";"87";"215";"84";"844";"1033";"1,7";"34";"24"
"wartość średnia";"66";"157";"59";"624";"-";"-1)";"31";"22"
"minimum";"36";"84";"29";"397";"487";"-1)";"14";"13"
"maksimum";"98";"218";"87";"844";"1161";"-1)";"59";"36"
