"CZAS";"NO2 Dwutlenek azotu  [µg/m3]";"NOx Tlenki azotu  [µg/m3]";"NO Tlenek azotu  [µg/m3]";"CO Tlenek węgla  [µg/m3]";"CO Tlenek węgla 8h poz. dop.: 10000 [µg/m3]";"C6H6 Benzen  [µg/m3]";"PM10 Pył zawieszony PM10 poz. dop.: 50 [µg/m3]";"PM2.5 Pył zawieszony PM2.5  [µg/m3]"
"01.05";"40";"85";"30";"460";"1019";"0,9";"31";"22"
"02.05";"56";"185";"84";"638";"902";"1,1";"42";"30"
"03.05";"39";"119";"52";"570";"890";"1,1";"50";"36"
"04.05";"60";"295";"154";"1038";"1498";"2,1";"48";"35"
"05.05";"63";"232";"110";"898";"1602";"1,8";"43";"31"
"06.05";"57";"166";"71";"804";"1035";"1,6";"42";"39"
"07.05";"40";"98";"38";"596";"1065";"1,2";"38";"36"
"08.05";"51";"146";"62";"499";"613";"0,7";"29";"19"
"09.05";"59";"155";"62";"429";"491";"0,6";"23";"14"
"10.05";"75";"216";"92";"708";"847";"1,5";"43";"36"
"11.05";"82";"247";"108";"838";"1093";"1,8";"54";"34"
"12.05";"70";"241";"112";"808";"1006";"1,8";"48";"33"
"13.05";"50";"207";"102";"797";"949";"1,7";"53";"39"
"14.05";"61";"175";"74";"720";"975";"1,2";"38";"27"
"15.05";"71";"196";"81";"678";"962";"1,1";"39";"26"
"16.05";"69";"218";"97";"702";"794";"1,4";"49";"34"
"17.05";"77";"237";"104";"724";"860";"1,4";"46";"27"
"18.05";"83";"217";"88";"666";"860";"1,3";"48";"21"
"19.05";"87";"222";"88";"692";"813";"1,3";"51";"20"
"20.05";"52";"135";"54";"570";"769";"0,9";"41";"28"
"21.05";"43";"95";"34";"429";"567";"0,5";"22";"16"
"22.05";"78";"197";"77";"588";"784";"0,7";"30";"14"
"23.05";"76";"217";"92";"704";"872";"1,1";"45";"24"
"24.05";"58";"170";"73";"568";"776";"0,8";"32";"22"
"25.05";"65";"237";"112";"668";"801";"0,9";"36";"24"
"26.05";"68";"207";"91";"643";"742";"1,0";"35";"23"
"27.05";"66";"182";"76";"619";"791";"0,9";"33";"18"
"28.05";"60";"150";"58";"590";"799";"0,9";"29";"16"
"29.05";"84";"209";"82";"648";"799";"1,0";"29";"14"
"30.05";"82";"184";"67";"645";"769";"0,9";"42";"20"
"31.05";"66";"158";"60";"586";"736";"0,7";"34";"17"
"wartość średnia";"64";"187";"80";"662";"-";"1,2";"39";"26"
"minimum";"39";"85";"30";"429";"491";"0,5";"22";"14"
"maksimum";"87";"295";"154";"1038";"1962";"2,1";"54";"39"
