"CZAS";"NO2 Dwutlenek azotu  [µg/m3]";"NOx Tlenki azotu  [µg/m3]";"NO Tlenek azotu  [µg/m3]";"CO Tlenek węgla  [µg/m3]";"CO Tlenek węgla 8h poz. dop.: 10000 [µg/m3]";"C6H6 Benzen  [µg/m3]";"PM10 Pył zawieszony PM10 poz. dop.: 50 [µg/m3]";"PM2.5 Pył zawieszony PM2.5  [µg/m3]"
"01.12";"41";"132";"59";"648";"764";"1,4";"28";"21"
"02.12";"42";"130";"58";"606";"804";"1,1";"26";"17"
"03.12";"42";"123";"53";"641";"856";"1,4";"41";"27"
"04.12";"54";"208";"100";"1246";"2230";"3,7";"93";"67"
"05.12";"75";"368";"192";"2145";"2727";"8,6";"181";"129"
"06.12";"55";"210";"101";"1003";"1677";"2,7";"74";"55"
"07.12";"72";"313";"158";"1278";"1768";"3,5";"99";"66"
"08.12";"60";"196";"89";"957";"1683";"2,4";"69";"46"
"09.12";"51";"161";"72";"813";"957";"1,6";"54";"30"
"10.12";"39";"115";"50";"753";"811";"1,4";"38";"24"
"11.12";"33";"92";"39";"670";"779";"1,0";"28";"19"
"12.12";"50";"157";"70";"713";"866";"0,9";"29";"16"
"13.12";"71";"310";"157";"1273";"1717";"3,1";"103";"63"
"14.12";"57";"230";"113";"1199";"1629";"2,6";"85";"59"
"15.12";"57";"230";"113";"946";"1132";"1,7";"37";"28"
"16.12";"69";"335";"174";"1448";"2043";"3,8";"106";"74"
"17.12";"68";"320";"165";"1982";"2219";"6,3";"158";"116"
"18.12";"42";"175";"86";"1326";"1853";"3,3";"85";"65"
"19.12";"54";"275";"144";"1755";"2083";"6,8";"99";"75"
"20.12";"67";"336";"175";"1854";"2342";"5,5";"105";"77"
"21.12";"64";"351";"188";"2186";"2464";"8,4";"142";"102"
"22.12";"63";"307";"160";"1703";"2429";"5,1";"98";"73"
"23.12";"49";"219";"111";"1347";"1640";"3,5";"77";"58"
"24.12";"42";"134";"60";"1339";"1573";"3,5";"59";"51"
"25.12";"26";"61";"23";"801";"1187";"1,4";"22";"20"
"26.12";"20";"48";"18";"727";"883";"0,9";"15";"13"
"27.12";"28";"68";"26";"687";"771";"0,5";"21";"13"
"28.12";"39";"101";"41";"741";"860";"-";"25";"14"
"29.12";"59";"205";"95";"1065";"1426";"2,3";"55";"35"
"30.12";"69";"303";"153";"1863";"2213";"5,6";"148";"108"
"31.12";"61";"239";"116";"2201";"2392";"7,7";"179";"133"
"wartość średnia";"52";"208";"102";"1223";"-";"3,5";"77";"55"
"minimum";"20";"48";"18";"606";"764";"0,5";"15";"13"
"maksimum";"75";"368";"192";"2201";"2727";"8,6";"181";"133"
