"CZAS";"NO2 Dwutlenek azotu  [µg/m3]";"NOx Tlenki azotu  [µg/m3]";"NO Tlenek azotu  [µg/m3]";"CO Tlenek węgla  [µg/m3]";"CO Tlenek węgla 8h poz. dop.: 10000 [µg/m3]";"C6H6 Benzen  [µg/m3]";"PM10 Pył zawieszony PM10 poz. dop.: 50 [µg/m3]";"PM2.5 Pył zawieszony PM2.5  [µg/m3]"
"01.02";"88";"399";"202";"1770";"2185";"9,6";"190";"135"
"02.02";"87";"337";"163";"1770";"2207";"9,9";"158";"119"
"03.02";"72";"333";"170";"1834";"2264";"11,7";"172";"129"
"04.02";"53";"197";"94";"1111";"1442";"5,9";"90";"67"
"05.02";"53";"228";"114";"1466";"2152";"7,1";"107";"87"
"06.02";"50";"225";"114";"1100";"2207";"6,0";"84";"71"
"07.02";"49";"159";"72";"676";"805";"2,3";"47";"40"
"08.02";"54";"175";"79";"703";"846";"2,3";"57";"39"
"09.02";"58";"175";"77";"750";"841";"2,9";"71";"52"
"10.02";"73";"205";"86";"875";"980";"3,2";"89";"57"
"11.02";"67";"162";"62";"862";"997";"3,1";"82";"60"
"12.02";"60";"146";"56";"806";"976";"2,9";"68";"56"
"13.02";"72";"227";"101";"851";"1092";"2,7";"73";"60"
"14.02";"92";"279";"122";"1640";"2531";"6,0";"171";"128"
"15.02";"115";"479";"238";"2411";"3024";"12,2";"256";"192"
"16.02";"102";"385";"186";"1912";"2706";"9,6";"197";"150"
"17.02";"81";"336";"166";"1637";"2210";"7,0";"164";"131"
"18.02";"62";"233";"112";"1162";"1441";"4,9";"97";"81"
"19.02";"62";"214";"99";"1093";"1368";"4,4";"106";"79"
"20.02";"67";"243";"115";"1016";"1383";"3,4";"77";"58"
"21.02";"45";"141";"63";"596";"763";"1,5";"20";"16"
"22.02";"50";"182";"87";"660";"927";"1,4";"28";"19"
"23.02";"74";"282";"136";"863";"1348";"2,0";"35";"22"
"24.02";"43";"110";"43";"486";"1033";"1,1";"21";"11"
"25.02";"58";"171";"73";"715";"1138";"1,7";"53";"37"
"26.02";"74";"201";"83";"905";"1208";"2,6";"59";"42"
"27.02";"97";"357";"170";"1094";"1375";"2,4";"74";"40"
"28.02";"87";"299";"138";"1011";"1365";"2,1";"68";"37"
"wartość średnia";"70";"246";"115";"1135";"-";"4,8";"97";"72"
"minimum";"43";"110";"43";"486";"763";"1,1";"20";"11"
"maksimum";"115";"479";"238";"2411";"4507";"12,2";"256";"192"
