"CZAS";"NO2 Dwutlenek azotu  [µg/m3]";"NOx Tlenki azotu  [µg/m3]";"NO Tlenek azotu  [µg/m3]";"CO Tlenek węgla  [µg/m3]";"CO Tlenek węgla 8h poz. dop.: 10000 [µg/m3]";"C6H6 Benzen  [µg/m3]";"PM10 Pył zawieszony PM10 poz. dop.: 50 [µg/m3]";"PM2.5 Pył zawieszony PM2.5  [µg/m3]"
"01.04";"83";"272";"123";"1194";"1739";"2,6";"66";"39"
"02.04";"78";"222";"94";"1062";"1529";"2,0";"55";"32"
"03.04";"72";"199";"83";"754";"1356";"1,1";"48";"27"
"04.04";"65";"173";"70";"706";"793";"1,0";"46";"25"
"05.04";"72";"213";"92";"842";"986";"1,3";"60";"35"
"06.04";"54";"143";"58";"652";"869";"0,9";"29";"18"
"07.04";"63";"190";"83";"783";"888";"1,2";"29";"22"
"08.04";"52";"143";"60";"698";"833";"0,9";"30";"18"
"09.04";"55";"170";"75";"928";"1243";"1,6";"48";"35"
"10.04";"72";"212";"91";"987";"1363";"1,8";"48";"32"
"11.04";"56";"142";"56";"642";"1035";"0,7";"30";"16"
"12.04";"62";"176";"75";"766";"866";"1,0";"41";"21"
"13.04";"49";"132";"54";"637";"797";"0,7";"26";"15"
"14.04";"51";"125";"48";"698";"804";"1,1";"29";"20"
"15.04";"49";"106";"37";"796";"990";"1,4";"47";"34"
"16.04";"27";"54";"18";"547";"724";"0,6";"20";"14"
"17.04";"50";"122";"47";"688";"872";"1,0";"25";"22"
"18.04";"60";"189";"84";"707";"816";"1,1";"18";"14"
"19.04";"47";"116";"45";"541";"685";"0,6";"18";"13"
"20.04";"58";"150";"60";"601";"742";"0,8";"27";"18"
"21.04";"66";"169";"67";"764";"926";"1,4";"58";"40"
"22.04";"53";"121";"45";"567";"737";"0,7";"32";"19"
"23.04";"41";"93";"33";"503";"689";"0,7";"24";"15"
"24.04";"70";"194";"81";"682";"1005";"1,1";"35";"20"
"25.04";"81";"241";"105";"885";"1133";"1,6";"54";"27"
"26.04";"62";"211";"97";"735";"886";"1,0";"34";"21"
"27.04";"69";"291";"145";"823";"973";"1,6";"28";"17"
"28.04";"57";"242";"121";"843";"1108";"2,1";"27";"21"
"29.04";"66";"186";"78";"778";"1154";"1,6";"44";"32"
"30.04";"55";"129";"49";"753";"1282";"1,9";"56";"42"
"wartość średnia";"60";"171";"72";"752";"-";"1,2";"38";"24"
"minimum";"27";"54";"18";"503";"685";"0,6";"18";"13"
"maksimum";"83";"291";"145";"1194";"1764";"2,6";"66";"42"
