Zanieczyszczenie;Warszawa-Marszałkowska - pył zawieszony PM10
Jednostka;ug/m3
2017-07-15;24.2
2017-07-16;17.7
2017-07-17;26.9
2017-07-18;26.9
2017-07-19;39.5
2017-07-20;34.3
2017-07-21;45.2
2017-07-22;32.9
2017-07-23;29.4
2017-07-24;31.0
2017-07-25;23.9
2017-07-26;21.3
2017-07-27;17.9
2017-07-28;23.4
2017-07-29;21.3
2017-07-30;21.9
2017-07-31;28.8
2017-08-01;32.3
2017-08-02;32.9
2017-08-03;34.5
2017-08-04;32.6
2017-08-05;28.5
2017-08-06;23.7
2017-08-07;22.7
2017-08-08;30.2
2017-08-09;30.1
2017-08-10;31.6
2017-08-11;39.5
2017-08-12;25.4
2017-08-13;15.5
2017-08-14;19.2
2017-08-15;17.4
2017-08-16;25.9
2017-08-17;27.0
2017-08-18;33.4
2017-08-19;28.9
2017-08-20;26.9
2017-08-21;20.9
2017-08-22;17.1
2017-08-23;20.1
2017-08-24;24.7
2017-08-25;41.6
2017-08-26;28.2
2017-08-27;28.0
2017-08-28;16.3
2017-08-29;24.4
2017-08-30;37.0
2017-08-31;40.4
2017-09-01;29.7
2017-09-02;9.7
2017-09-03;14.2
2017-09-04;13.0
2017-09-05;13.2
2017-09-06;16.8
2017-09-07;11.3
2017-09-08;19.9
2017-09-09;24.6
2017-09-10;26.0
2017-09-11;36.7
2017-09-12;20.2
2017-09-13;14.6
2017-09-14;8.2
2017-09-15;13.3
2017-09-16;27.5
2017-09-17;30.9
2017-09-18;15.5
2017-09-19;38.1
2017-09-20;28.1
2017-09-21;23.3
2017-09-22;20.2
2017-09-23;35.0
2017-09-24;35.3
2017-09-25;29.7
2017-09-26;45.8
2017-09-27;36.0
2017-09-28;27.2
2017-09-29;43.6
2017-09-30;41.6
