"CZAS";"NO2 Dwutlenek azotu  [µg/m3]";"NOx Tlenki azotu  [µg/m3]";"NO Tlenek azotu  [µg/m3]";"CO Tlenek węgla  [µg/m3]";"CO Tlenek węgla 8h poz. dop.: 10000 [µg/m3]";"C6H6 Benzen  [µg/m3]";"PM10 Pył zawieszony PM10 poz. dop.: 50 [µg/m3]";"PM2.5 Pył zawieszony PM2.5  [µg/m3]"
"01.01";"66";"257";"125";"1761";"2106";"7,3";"185";"152"
"02.01";"54";"206";"99";"1136";"2080";"4,3";"104";"86"
"03.01";"50";"158";"71";"719";"887";"2,0";"45";"37"
"04.01";"36";"103";"43";"532";"620";"0,9";"15";"12"
"05.01";"50";"148";"64";"589";"760";"1,1";"27";"16"
"06.01";"37";"84";"31";"545";"721";"1,4";"74";"42"
"07.01";"63";"193";"85";"1371";"1731";"6,6";"162";"148"
"08.01";"74";"254";"117";"2191";"2843";"-";"234";"206"
"09.01";"85";"297";"138";"1849";"2061";"-";"224";"176"
"10.01";"83";"340";"168";"1727";"2468";"-";"166";"129"
"11.01";"98";"490";"255";"3086";"3398";"-";"290";"235"
"12.01";"60";"210";"98";"1074";"3095";"-";"56";"46"
"13.01";"74";"320";"161";"1153";"1531";"3,3";"65";"36"
"14.01";"49";"151";"66";"875";"1105";"2,3";"51";"34"
"15.01";"59";"207";"97";"1073";"1572";"3,4";"60";"49"
"16.01";"71";"306";"153";"1386";"1621";"7,0";"100";"77"
"17.01";"62";"248";"121";"1064";"1531";"6,4";"92";"75"
"18.01";"59";"198";"91";"692";"851";"3,1";"40";"34"
"19.01";"63";"232";"110";"973";"1652";"5,5";"103";"83"
"20.01";"83";"321";"155";"1782";"2017";"12,0";"205";"149"
"21.01";"75";"252";"116";"1303";"1625";"7,5";"126";"92"
"22.01";"63";"245";"118";"1079";"1679";"5,3";"79";"64"
"23.01";"85";"380";"192";"1994";"2769";"14,9";"188";"143"
"24.01";"70";"216";"96";"1144";"2493";"6,5";"115";"95"
"25.01";"66";"328";"171";"1600";"2028";"10,4";"194";"161"
"26.01";"70";"332";"171";"1360";"1977";"7,7";"133";"109"
"27.01";"95";"481";"252";"2549";"3297";"16,7";"269";"207"
"28.01";"94";"381";"187";"2930";"3529";"18,8";"316";"250"
"29.01";"84";"311";"148";"2278";"3033";"12,3";"243";"188"
"30.01";"114";"546";"281";"3462";"4087";"18,1";"327";"258"
"31.01";"99";"417";"207";"2498";"4125";"14,9";"252";"196"
"wartość średnia";"71";"278";"135";"1541";"-";"7,8";"146";"116"
"minimum";"36";"84";"31";"532";"620";"0,9";"15";"12"
"maksimum";"114";"546";"281";"3462";"5353";"18,8";"327";"258"
