"CZAS";"NO2 Dwutlenek azotu  [µg/m3]";"NOx Tlenki azotu  [µg/m3]";"NO Tlenek azotu  [µg/m3]";"CO Tlenek węgla  [µg/m3]";"CO Tlenek węgla 8h poz. dop.: 10000 [µg/m3]";"C6H6 Benzen  [µg/m3]";"PM10 Pył zawieszony PM10 poz. dop.: 50 [µg/m3]";"PM2.5 Pył zawieszony PM2.5  [µg/m3]"
"01.11";"44";"133";"58";"913";"1160";"1,7";"40";"27"
"02.11";"50";"143";"61";"833";"1130";"1,2";"28";"18"
"03.11";"46";"145";"65";"799";"1126";"1,2";"27";"17"
"04.11";"72";"307";"153";"1322";"1864";"2,2";"61";"46"
"05.11";"69";"246";"115";"1197";"1778";"2,0";"50";"38"
"06.11";"52";"198";"95";"1262";"1475";"1,6";"44";"38"
"07.11";"55";"191";"89";"1012";"1172";"1,5";"42";"34"
"08.11";"58";"232";"114";"1141";"1282";"1,8";"58";"43"
"09.11";"62";"265";"133";"1639";"2070";"3,2";"106";"88"
"10.11";"67";"272";"134";"1403";"1684";"2,1";"84";"60"
"11.11";"38";"127";"58";"970";"1283";"1,4";"41";"33"
"12.11";"37";"128";"60";"930";"1228";"1,6";"39";"31"
"13.11";"44";"126";"53";"950";"1203";"1,4";"39";"29"
"14.11";"66";"274";"136";"1297";"1988";"1,9";"64";"40"
"15.11";"68";"296";"149";"1777";"2164";"3,0";"109";"75"
"16.11";"64";"279";"140";"1417";"1910";"1,6";"51";"37"
"17.11";"59";"299";"156";"1541";"1888";"1,7";"66";"43"
"18.11";"85";"545";"300";"2009";"2671";"2,4";"99";"58"
"19.11";"68";"427";"234";"1758";"2830";"2,9";"98";"69"
"20.11";"61";"339";"181";"1391";"2440";"2,1";"58";"42"
"21.11";"71";"357";"187";"1210";"2399";"1,9";"83";"48"
"22.11";"80";"446";"239";"1388";"2270";"2,4";"100";"54"
"23.11";"70";"493";"276";"1838";"2881";"3,5";"121";"78"
"24.11";"68";"493";"278";"2207";"2894";"5,3";"179";"123"
"25.11";"50";"305";"166";"1261";"2888";"2,7";"85";"62"
"26.11";"48";"258";"137";"1449";"2011";"3,4";"96";"73"
"27.11";"33";"86";"35";"595";"1843";"0,9";"30";"24"
"28.11";"46";"133";"56";"537";"695";"0,7";"20";"15"
"29.11";"51";"148";"63";"649";"793";"1,7";"49";"31"
"30.11";"52";"170";"77";"719";"914";"1,8";"58";"36"
"wartość średnia";"58";"260";"132";"1245";"-";"3,0";"68";"47"
"minimum";"33";"86";"35";"537";"695";"0,7";"20";"15"
"maksimum";"85";"545";"300";"2207";"2894";"5,3";"179";"123"
