"CZAS";"NO2 Dwutlenek azotu  [µg/m3]";"NOx Tlenki azotu  [µg/m3]";"NO Tlenek azotu  [µg/m3]";"CO Tlenek węgla  [µg/m3]";"CO Tlenek węgla 8h poz. dop.: 10000 [µg/m3]";"C6H6 Benzen  [µg/m3]";"PM10 Pył zawieszony PM10 poz. dop.: 50 [µg/m3]";"PM2.5 Pył zawieszony PM2.5  [µg/m3]"
"01.10";"74";"235";"105";"963";"1409";"2,1";"60";"36"
"02.10";"63";"174";"73";"841";"1281";"2,1";"53";"34"
"03.10";"53";"158";"69";"579";"781";"1,3";"25";"17"
"04.10";"47";"158";"73";"504";"620";"1,3";"19";"11"
"05.10";"34";"117";"54";"394";"562";"1,3";"13";"9"
"06.10";"45";"209";"108";"611";"877";"2,1";"30";"19"
"07.10";"54";"236";"119";"893";"1067";"3,1";"64";"43"
"08.10";"43";"160";"77";"836";"1051";"2,9";"77";"55"
"09.10";"40";"155";"75";"818";"1108";"3,1";"68";"49"
"10.10";"54";"241";"123";"901";"1120";"2,3";"57";"40"
"11.10";"44";"208";"107";"682";"940";"1,8";"43";"27"
"12.10";"41";"129";"57";"490";"627";"1,3";"23";"15"
"13.10";"47";"181";"87";"536";"729";"1,3";"30";"19"
"14.10";"50";"183";"87";"608";"733";"1,7";"41";"25"
"15.10";"45";"158";"74";"678";"786";"1,9";"38";"23"
"16.10";"30";"90";"39";"457";"630";"1,8";"32";"22"
"17.10";"45";"203";"103";"689";"933";"2,2";"34";"20"
"18.10";"58";"323";"174";"1198";"1431";"3,1";"61";"35"
"19.10";"55";"276";"145";"1115";"1487";"2,9";"65";"39"
"20.10";"55";"310";"166";"1165";"1575";"3,3";"65";"39"
"21.10";"57";"299";"158";"1232";"1494";"4,6";"62";"41"
"22.10";"48";"205";"103";"983";"1389";"3,1";"68";"45"
"23.10";"55";"237";"119";"1094";"1355";"3,7";"57";"38"
"24.10";"71";"372";"196";"1402";"2077";"3,6";"71";"42"
"25.10";"50";"254";"133";"1169";"2075";"3,2";"71";"43"
"26.10";"58";"225";"109";"752";"958";"1,9";"48";"30"
"27.10";"62";"273";"138";"920";"1284";"2,7";"72";"48"
"28.10";"49";"217";"110";"1077";"1608";"3,0";"87";"62"
"29.10";"32";"73";"27";"393";"546";"0,8";"20";"11"
"30.10";"31";"71";"26";"398";"496";"0,6";"19";"11"
"31.10";"45";"118";"48";"557";"689";"1,1";"38";"21"
"wartość średnia";"50";"202";"99";"804";"-";"2,3";"49";"31"
"minimum";"30";"71";"26";"393";"496";"0,6";"13";"9"
"maksimum";"74";"372";"196";"1402";"2267";"4,6";"87";"62"
